安平县,34
安新县,29
安国市,29
安泽县,44
阿尔山市,53
安图县,78
阿城市,79
安达市,90
安吉县,103
安溪县,129
安远县,140
安义县,134
安福县,141
安丘市,149
安阳县,164
安乡县,197
安陆市,183
安化县,199
安仁县,200
安县,242
安岳县,254
阿坝县,255
安龙县,263
安宁市,267
安多县,287
昂仁县,286
安塞县,294
安西县,307
阿克塞哈萨克族自治县,307
阿克苏市,332
阿瓦提县,332
阿图什市,333
阿合奇县,333
阿勒泰市,338
博野县,29
霸州市,33
泊头市,32
柏乡县,28
保德县,43
北票市,68
本溪满族自治县,60
北宁市,62
宾县,79
巴彦县,79
勃利县,87
拜泉县,80
宝清县,83
滨海县,97
北安市,89
宝应县,12
博兴县,158
博爱县,167
宝丰县,163
保康县,180
巴东县,188
保靖县,204
博罗县,213
宾阳县,224
北流市,232
博白县,232
巴马瑶族自治县,235
北川羌族自治县,242
宝兴县,252
白玉县,256
巴塘县,256
布拖县,257
毕节市,264
宾川县,277
比如县,287
班戈县,287
巴青县,287
八宿县,284
边坝县,284
波密县,289
白朗县,286
白水县,293
彬县,292
白河县,297
班玛县,318
巴楚县,334
拜城县,332
巴里坤哈萨克自治县,328
博乐市,330
博湖县,331
布尔津县,338
璧山县,9
巢湖市,110
从化市,4
常熟市,6
慈溪,11
长海县,19
赤城县,30
崇礼县,30
承德县,31
昌黎县,26
沧县,32
成安县,27
磁县,27
长治县,38
长子县,38
朝阳县,68
昌图县,67
长岭县,76
长白朝鲜族自治县,75
长兴县,103
常山县,106
苍南县,101
长丰县,110
淳安县,3
长乐市,14
长泰县,130
长汀县,132
崇义县,140
崇仁县,143
茌平县,157
昌邑市,149
昌乐县,149
长岛县,148
苍山县,155
曹县,159
成武县,159
长垣县,166
长葛市,169
赤壁市,186
崇阳县,186
长阳土家族自治县,179
长沙县,344
慈利县,198
茶陵县,192
常宁市,194
城步苗族自治县,195
潮安县,221
辰溪县,202
苍梧县,227
岑溪市,227
崇州市,8
苍溪县,243
长宁县,249
赤水市,260
岑巩县,265
从江县,265
长顺县,266
册亨县,263
呈贡县,267
澄江县,269
昌宁县,270
沧源佤族自治县,282
楚雄市,272
昌都县,284
察雅县,284
察隅县,289
措美县,285
错那县,285
措勤县,288
澄城县,293
长武县,292
淳化县,292
城固县,295
崇信县,306
成县,310
称多县,319
策勒县,335
察布查尔锡伯自治县,336
城口县,9
昌吉市,329
大城县,33
定州市,29
大厂回族自治县,33
东光县,32
定兴县,29
大名县,27
大同县,36
定襄县,43
代县,43
大宁县,44
磴口县,56
多伦县,54
调兵山市,67
灯塔市,65
东港市,61
大石桥市,63
大洼县,66
德惠市,70
东丰县,73
大安市,77
东辽县,73
敦化市,78
东宁县,88
杜尔伯特蒙古族自治县,84
东海县,95
东台市,97
大丰市,97
德清县,103
丹阳市,98
东阳市,105
岱山县,107
洞头县,101
砀山县,121
当涂县,114
定远县,119
东至县,125
大田县,128
德化县,129
东山县,130
德安县,137
都昌县,137
大余县,140
定南县,140
东乡县,143
德兴市,144
东阿县,157
东平县,151
定陶县,159
单县,159
东明县,159
邓州市,172
登封市,160
郸城县,175
丹江口市,178
大悟县,183
大冶市,177
当阳市,179
东安县,201
道县,201
洞口县,195
东源县,216
大埔县,214
德庆县,212
电白县,211
东兴市,229
大新县,394
德保县,233
东兰县,235
大化瑶族自治县,235
都安瑶族自治县,235
都江堰市,8
大邑县,8
达县,251
大英县,244
大竹县,251
丹棱县,248
丹巴县,256
道孚县,256
德格县,256
稻城县,256
得荣县,256
德昌县,257
道真仡佬族苗族自治县,260
大方县,264
德江县,262
丹寨县,265
都匀市,266
独山县,266
大关县,271
德钦县,281
大姚县,272
当雄县,283
堆龙德庆县,283
丁青县,284
达孜县,283
定日县,286
定结县,286
大荔县,293
定边县,296
敦煌市,307
丹凤县,298
宕昌县,310
迭部县,312
东乡族自治县,311
大通回族土族自治县,313
达日县,318
德令哈市,320
都兰县,320
大足县,9
垫江县,9
额尔古纳市,52
二连浩特市,54
恩平市,209
恩施市,188
峨眉山市,246
峨边彝族自治县,246
峨山彝族自治县,269
洱源县,277
额敏县,337
福清市,14
奉化市,11
丰宁满族自治县,31
抚宁县,26
阜平县,29
阜城县,34
肥乡县,27
繁峙县,43
浮山县,44
汾西县,44
汾阳市,45
方山县,45
丰镇市,55
法库县,18
阜新蒙古族自治县,64
抚顺县,59
凤城市,61
扶余县,76
抚松县,75
方正县,79
富裕县,80
富锦市,86
抚远县,86
丰县,92
阜宁县,97
富阳市,3
肥东县,110
肥西县,110
阜南县,120
凤台县,113
凤阳县,119
繁昌县,111
福安市,133
福鼎市,133
浮梁县,135
分宜县,138
丰城市,142
奉新县,142
费县,155
肥城市,151
封丘县,166
范县,168
方城县,172
扶沟县,175
房县,178
凤凰县,204
佛冈县,218
丰顺县,214
封开县,212
扶绥县,394
凤山县,235
富川瑶族自治县,234
富顺县,238
凤冈县,260
福泉市,266
富民县,267
富源县,268
凤庆县,282
福贡县,280
富宁县,274
富县,294
富平县,293
凤翔县,291
扶风县,291
凤县,291
府谷县,296
佛坪县,295
阜康市,329
富蕴县,338
福海县,338
丰都县,9
奉节县,9
高邑县,24
格尔木市,320
高邮市,12
藁城市,24
沽源县,30
固安县,33
高碑店市,29
故城县,34
高阳县,29
广宗县,28
广平县,27
馆陶县,27
古交市,35
广灵县,36
高平市,39
古县,44
固阳县,47
根河市,52
盖州市,63
公主岭市,72
甘南县,80
高淳县,5
赣榆县,95
灌云县,95
灌南县,95
固镇县,112
广德县,126
光泽县,131
古田县,133
贵溪市,139
赣县,140
广丰县,144
高安市,142
广昌县,143
冠县,157
高唐县,157
高青县,145
广饶县,147
高密市,149
巩义市,160
光山县,174
固始县,174
公安县,184
谷城县,180
桂阳县,200
广水市,187
桂东县,200
古丈县,204
高要市,212
广宁县,212
高州市,211
灌阳县,226
恭城瑶族自治县,226
桂平市,231
广汉市,241
古蔺县,240
高县,249
珙县,249
甘孜县,256
甘洛县,257
贵定县,266
关岭布依族苗族自治县,261
耿马傣族佤族自治县,282
贡山独龙族怒族自治县,280
个旧市,273
广南县,274
贡觉县,284
工布江达县,289
贡嘎县,285
噶尔县,288
革吉县,288
岗巴县,286
改则县,288
高陵县,17
甘泉县,294
皋兰县,299
甘谷县,303
古浪县,304
高台县,305
广河县,311
刚察县,315
甘德县,318
巩留县,336
共和县,411
贵德县,411
贵南县,411
潢川县,174
珲春市,78
怀安县,30
赞皇县,24
怀来县,30
黄骅市,32
河间市,32
海兴县,32
邯郸县,27
怀仁县,40
浑源县,36
壶关县,38
河曲县,43
和顺县,41
霍州市,44
侯马市,44
洪洞县,44
和林格尔县,46
化德县,55
霍林郭勒市,50
桓仁满族自治县,60
黑山县,62
海城市,58
桦甸市,71
辉南县,74
和龙市,78
桦南县,86
桦川县,86
虎林市,81
海伦市,90
呼玛县,91
海林市,88
洪泽县,96
海门市,94
海安县,94
海盐县,102
海宁市,102
怀远县,112
怀宁县,117
霍邱县,123
霍山县,123
含山县,114
和县,114
惠安县,129
华安县,130
湖口县,137
会昌县,140
横峰县,144
桓台县,145
海阳市,148
惠民县,158
辉县市,166
获嘉县,166
滑县,164
淮滨县,174
淮阳县,175
汉川市,183
红安县,185
黄梅县,185
洪湖市,184
鹤峰县,188
汉寿县,197
华容县,196
衡阳县,194
衡南县,194
衡山县,194
衡东县,194
洪江市,202
会同县,202
花垣县,204
和平县,216
惠来县,222
海丰县,215
惠东县,213
鹤山市,209
怀集县,212
化州市,211
横县,224
合浦县,228
环江毛南族自治县,235
合山市,398
华蓥市,250
合江县,240
洪雅县,248
汉源县,252
黑水县,255
红原县,255
会理县,257
会东县,257
赫章县,264
黄平县,265
惠水县,266
会泽县,268
华宁县,269
华坪县,279
鹤庆县,277
红河县,273
河口瑶族自治县,273
户县,17
黄龙县,294
黄陵县,294
华阴市,293
韩城市,293
华县,293
合阳县,293
横山县,296
汉阴县,297
会宁县,302
环县,308
华池县,308
合水县,308
华亭县,306
徽县,310
和政县,311
合作市,312
湟源县,313
湟中县,313
互助土族自治县,314
海晏县,315
化隆回族自治县,314
河南蒙古族自治县,316
和田市,335
贺兰县,321
和田县,335
哈密市,328
呼图壁县,329
和静县,331
和硕县,331
霍城县,336
和布克赛尔蒙古自治县,337
哈巴河县,338
黄岛,21
江都市,12
